iata_code,airline,country/region,comments
3F,FlyOne Armenia,Armenia,
HK,Four Star Aviation/Four Star Cargo,United States,Virgin Islands
FH,Freebird Airlines,Turkey,
SJ,Freedom Air,New Zealand,defunct
FP,Freedom Air,United States,Aviation Services
F9,Frontier Airlines,United States,
2F,Frontier Flying Service,United States,
FH,Futura International Airways,Spain,defunct
FZ,Flydubai,UAE,
Y5,Golden Myanmar Airlines,Myanmar,
GT,GB Airways,United Kingdom,
Z5,GMG Airlines,Bangladesh,
7O,Galaxy Air,Kyrgyzstan,
1G,Galileo International,United States,
GC,Gambia International Airlines,Gambia,
G7,Gandalf Airlines,Italy,
GA,Garuda Indonesia,Indonesia,
4G,Gazpromavia,Russia,
GR,Gemini Air Cargo,United States,
A9,Georgian Airways,Georgia,
QB,Georgian National Airlines,Georgia,
HE,German Airways,Germany,Former name: Luftfahrtgesellschaft Walter
ST,Germania,Germany,
4U,Germanwings,Germany,
GP,APG Airlines,France,
GH,Globus Airlines,Russia,
GH,Ghana Airways,Ghana,defunct
G0,Ghana International Airlines,Ghana,
6G,Go2Sky,Slovakia,
G8,GoAir,India,
GK,Go One Airways,United Kingdom,Defunct?
G7,GoJet Airlines,United States,
G3,Gol Transportes Aéreos,Brazil,Brazilian low-cost airline.
DC,Golden Air,Sweden,
5Z,Gonini Air Services,Suriname,defunct
G1,Gorkha Airlines,Nepal,?ICAO
GV,Grant Aviation,United States,
ZK,Great Lakes Airlines,United States,
IJ,Great Wall Airlines,China,
HB,Greater Bay Airlines,Hong Kong,
G6,Guine Bissaur Airlines,Guinea-Bissau,
J9,Guinee Airlines,Guinea,defunct
G8,Gujarat Airways,India,
GF,Gulf Air,Bahrain,
GY,Guyana Airways 2000,,
H4,Héli Sécurité Helicopter Airlines,France,
EO,Hewa Bora Airways,Democratic Republic of the Congo,
A5,Hop!,France,
H6,Hageland Aviation Services,United States,
HR,Hahn Air,Germany,
H1,Hahn Air Systems,Germany,
HU,Hainan Airlines,China,
1R,Hainan Phoenix Information Systems,China,
2T,Haiti Ambassador Airlines,Haiti,
4R,Hamburg International,Germany,
X3,Hapag-Lloyd Express,Germany,BecameTUI fly Deutschlandin 2007
HF,Hapagfly,Germany,BecameTUI fly Deutschlandin 2007
HB,Harbor Airlines,United States,
HQ,Harmony Airways,Canada,
HA,Hawaiian Airlines,United States,
HP,Hawaiian Pacific Airlines,United States,defunct
BH,Hawkair,Canada,defunct since 2016
HN,Heavylift Cargo Airlines,Australia,
NS,Hebei Airlines,China,
JB,Helijet,Canada,
ZU,Helios Airways,Cyprus,defunct since 7 November 2006
9I,Helitrans,Norway,
HJ,Hellas Jet,Greece,ceased operation in 2010
HW,Hello,Switzerland,
2L,Helvetic Airways,Switzerland,
UD,Hex'Air,France,
5K,Hi Fly,Portugal,
H9,Himalaya Airlines,Nepal,
H7,HiSky,Moldova,
H4,HiSky Europe,Romania,
VM,His Majesty King Maha Vajiralongkorn,Thailand,"holding airline, renamed on his accession[33]"
H5,Hola Airlines,Spain,
HC,Holidays Czech Airlines,Czech Republic,
HX,Hong Kong Airlines,Hong Kong,
RH,Hong Kong Air Cargo,Hong Kong,
UO,Hong Kong Express Airways,Hong Kong,
A6,Hongtu Airlines,China,
H1,Hooters Air,United States,"The airline was established in 2003 and started operations on March 6, 2003. On April 17, 2006,Hooters Airceased operations, halting scheduled Public Charter service and refunding tickets."
HH,Hope Air,Canada,
QX,Horizon Air,United States,
BN,Horizon Airlines,Australia,defunct
HJ,HumoAir,Uzbekistan,
HW,FlyErbil,Iraqi Kurdistan,
MR,Hunnu Air,Mongolia,
I4,Island Air Express,United States,2014[34]
IK,Ikar,Russian Federation,
1F,INFINI Travel Information,Japan,Computer Reservation System
1U,ITA Software,United States,Computer reservation system
IB,Iberia Airlines,Spain,
II,IBC Airways,United States,
I2,Iberia Express,Spain,"Charter service, low cost carrier for EU flights of Iberia operating only A320s"
TY,Iberworld,Spain,
FW,Ibex Airlines,Japan,
0C,IBL Aviation,Mauritius,
C3,Independent Carrier (ICAR),Ukraine,
HC,Iceland Express,Iceland,defunct
FI,Icelandair,Iceland,
V8,Iliamna Air Taxi,United States,
DH,Independence Air,United States,defunct
I7,IndiaOne Air,India,
6E,IndiGo,India,InterGlobe Aviation
IC,Indian Airlines,India,
I9,Indigo Airlines,United States,
VP,Indochina Airlines,Vietnam,defunct
QZ,Indonesia AirAsia,Indonesia,
IO,Indonesian Airlines,Indonesia,
H4,Inter Island Airways,Cape Verde,
D6,Interair South Africa,South Africa,
ZA,Interavia Airlines,Russia,
JY,InterCaribbean Airways,Turks and Caicos Islands,Name changed fromInterisland Airways LimitedandAir Turks & Caicos
RS,Intercontinental de Aviación,Colombia,
4O,Interjet,Mexico,
ID,Interlink Airlines,South Africa,
N/A,"T3 Aviation, Inc.",United States,2020[36]
6I,International Business Air,Sweden,was U5
3L,Intersky,Austria,Defunct
I4,Interstate Airlines,Netherlands,Defunct
IR,Iran Air,Iran,Was B9
EP,Iran Aseman Airlines,Iran,
IA,Iraqi Airways,Iraq,
IH,Irtysh Air,Kazakhstan,Old IATA code:IT; old ICAO code:IRT
2S,Island Express,United States,
CN,Islands Nationair,Papua New Guinea,
IF,Islas Airways,Spain,
WC,Islena De Inversiones,Honduras,
6H,Israir,Israel,
AZ,ITA Airways,Italy,
FS,Itali Airlines,Italy,Former name:Transporti Aerei Italiani; former IATA Code: 9X*; former ICAO code: ACO
GI,Itek Air,Kyrgyzstan,?ICAO confirmed; IATA not
H9,Izair,Turkey,
XM,J-Air,Japan,
JC,JAL Express,Japan,
JO,JALways,Japan,
MT,JMC Airlines,United Kingdom,
1M,JSC Transport Automated Information Systems,Russia,
JI,Jade Cargo International,China,defunct
3X,Japan Air Commuter,Japan,
JL,Japan Airlines,Japan,Japan Airlines International
JL,Japan Airlines Domestic,Japan,defunct
EG,Japan Asia Airways,Japan,defunct
NU,Japan Transocean Air,Japan,
JA,JetSMART,Chile,
JZ,JetSMART Perú,Peru,
WJ,JetSMART Argentina,Argentina,
JU,Jat Airways,Serbia,
VJ,Jatayu Airlines,Indonesia,
J9,Jazeera Airways,Kuwait,
7C,Jeju Air,Republic of Korea,
O2,OLT Express,Poland,"defunct, funded by acquisition of Jet Air and YES Airways"
9W,Jet Airways,India,
QJ,Jet Airways,United States,
PP,Jet Aviation,Switzerland,
3K,Jetstar Asia Airways,Singapore,
LS,Jet2.com,United Kingdom,
B6,JetBlue Airways,United States,
JF,Jet Asia Airways,Thailand,
0J,Jetclub,Switzerland,
SG,JetsGo,Canada,defunct
JQ,Jetstar,Australia,
GK,Jetstar Japan,Japan,
JM,Jetstar Hong Kong Airways,China,
JX,Jett8 Airlines Cargo,Singapore,defunct
JO,Jettime,Denmark,
GX,JetX Airlines,Iceland,
LJ,Jin Air,South Korea,
R5,Jordan Aviation,Jordan,
J4,Jordan International Air Cargo,Jordan,
XE,JSX (airline),United States,
6J,Jubba Airways,Somalia,
HO,Juneyao Airlines,China,2023[38]
KW,Kharkiv Airlines,Ukraine,
KD,Kalstar Aviation,Indonesia,
KD,KD Avia,Russia,
WA,KLM Cityhopper,Netherlands,
KL,KLM,Netherlands,
N2,Kabo Air,Nigeria,
KI,KaiserAir,United States,"Operates B737-500, B737-700, B737-800"
K4,Kalitta Air,United States,"Operates B747-400's, B767-300ER's, B777F"
K9,Kalitta Charters,United States,"Operates Lear 25s, 35s, 36s Falcon 20s, CL601"
CB*,Kalitta Charters II,United States,"Operates B727-200's, DC9-15 & 30, B737-400's"
RQ,Kam Air,Afghanistan,
E2,Kampuchea Airlines,Cambodia,IATA was KT
V2,Karat,Russia,
KV,Kavminvodyavia,Russia,
3Q,KC International Airlines,Cambodia,
KW,Kelowna Flightcraft Air Charter,Canada,
M5,Kenmore Air,United States,
KQ,Kenya Airways,Kenya,
ZN,Key Airlines,United States,
KG,Key Lime Air,United States,
BZ,Keystone Air Service,Canada,
K6,Khalifa Airways,Algeria,
X9KO,Khors Aircompany,Ukraine,defunct
IT,Kingfisher Airlines,India,Defunct Since 2012
4I,Knighthawk Air Express,Canada,
Y9,Kish Air,Iran,
KR,Kitty Hawk Aircargo,United States,defunct
2K,Kitty Hawk Airways,United States,defunct
KP,Kiwi International Air Lines,United States,
KY,Kunming Airlines,China,ICAO code KNA was used by Knight Air
7K,Kogalymavia Air Company,Russia,
8J,Komiinteravia,Russia,
KE,Korean Air,South Korea,
7B,Krasnojarsky Airlines,Russia,defunct
K9,Krylo Airlines,Russia,
GW,Kuban Airlines,Russia,
VD,Kunpeng Airlines,China,
KU,Kuwait Airways,Kuwait,
GO,Kuzu Airlines Cargo,Turkey,
N5,Kyrgyz Airlines,Kyrgyzstan,
QH,Kyrgyzstan,Kyrgyzstan,Name changed toAir Kyrgyzstan
R8,Kyrgyzstan Airlines,Kyrgyzstan,
FK,Keewatin Air,Canada,
YL,Libyan Wings,Libya,
YQ,TAR Aerolineas,Mexico,
JF,L.A.B. Flying Service,United States,
LR,LACSA,Costa Rica,
KG,LAI - Línea Aérea IAACA,Venezuela,
4M,LATAM Argentina,Argentina,
JJ,LATAM  Brasil,Brazil,
UC,LATAM Cargo Chile,Chile,
LA,LATAM Chile,Chile,
4C,LATAM Colombia,Colombia,
LU,LATAM Express,Chile,
PZ,LATAM Paraguay,Paraguay,
LP,LATAM Peru,Peru,
NI,LANICA,Nicaragua,
L5,Línea Aérea Cuencana,Ecuador,
LO,LOT Polish Airlines,Poland,"""POLLOT"" is not used in practice. ""LOT"" is used in almost all cases."
XO,LTE International Airways,Spain,
L3,LTU Austria,Austria,
LT,LTU International,Germany,
N6,Lagun Air,Spain,
IK,Lankair,Sri Lanka,
QL,Lankan Cargo,Sri Lanka,
QV,Lao Airlines,Lao People's Democratic Republic,
L7,Laoag International Airlines,Philippines,
NG,Lauda Air,Austria,
OE[40],LaudaMotion,Austria,
LQ,Lebanese Air Transport,Lebanon,
LI,Leeward Islands Air Transport,Antigua and Barbuda,
LV,Level,Spain and France,
LN,Libyan Arab Airlines,Libya,
L7,Línea Aérea SAPSA,Chile,
QL,Línea Aérea de Servicio Ejecutivo Regional,Venezuela,
ZE,Líneas Aéreas Azteca,Mexico,defunct
TM,Linhas Aéreas de Moçambique,Mozambique,
JT,Lion Air,Indonesia,
LM,Livingston Energy Flight,Italy,Ceased operations 2010
LT,LJ Air,China,
LB,Lloyd Aéreo Boliviano,Bolivia,
LM,Loganair,United Kingdom,Gained the code LM after beginning independent operations (2017)
GI,Longhao Airlines,China,
GJ,Loong Air,China,
LH,Lufthansa,Germany,
LH,Lufthansa Cargo,Germany,
CL,Lufthansa CityLine,Germany,
L1,Lufthansa Systems,Germany,
L5,Lufttransport,Norway,
LG,Luxair,Luxembourg,
5V,Lviv Airlines,Ukraine,
L2,Lynden Air Cargo,United States,
Y9,Lynx Air,Canada,
L4,Lynx Aviation,United States,Part ofFrontier Airlines
Z8,Línea Aérea Amaszonas,Bolivia,
MJ,Líneas Aéreas Privadas Argentinas,Argentina,defunct
LT,LongJiang Airlines,China,
Q2,Maldivian (airline),Maldives,
BF,MarkAir,United States,1984-1995
WD,Modern Transporte Aereo De Carga,Brazil,
OD,Malindo Airways,Malaysia,
AQ,MAP-Management and Planung,Austria,
M7,MasAir,Mexico,
MY,MASwings,Malaysia,
IN,MAT Macedonian Airlines,Macedonia,Defunct
OM,MIAT Mongolian Airlines,Mongolia,
MB,MNG Airlines,Turkey,
CC,Macair Airlines,Australia,
DM,Maersk Air,Denmark,Defunct
VB,Maersk Air UK,United Kingdom,"Defunct, later becameDuo Airways"
W5,Mahan Air,Iran,
M2,Mahfooz Aviation,Gambia,
MH,Malaysia Airlines,Malaysia,
DB,Maleth-Aero,Malta,
TF,Malmö Aviation,Sweden,
R5,Malta Air Charter,Malta,Defunct?
MA,Malév Hungarian Airlines,Hungary,defunct
RI,Mandala Airlines,Indonesia,
AE,Mandarin Airlines,Taiwan,
JE,Mango,South Africa,
6V,Mars RK,Ukraine,
M7,Marsland Aviation,Sudan,
MP,Martinair,Netherlands,
Q4,Mastertop Linhas Aéreas,Brazil,
H5,Mavial Magadan Airlines,Russia,
8M,Maxair,Sweden,
MY,Maxjet Airways,United States,Defunct
MW,Maya Island Air,Belize,
7M,Mayair,Mexico,
M8,Mekong Airlines,Cambodia,Defunct
IM,Menajet,Lebanon,
IG,Meridiana,Italy,Callsign was MERAIR
MZ,Merpati Nusantara Airlines,Indonesia,
YV,Mesa Airlines,United States,
XJ,Mesaba Airlines,United States,
GJ,Mexicargo,Mexico,defunct
MX,Mexicana de Aviación,Mexico,
LL,Miami Air International,United States,"Previous IATA Code ""GL"""
ME,Middle East Airlines,Lebanon,
JI,Midway Airlines (1993–2003),United States,defunct
ML,Midway Airlines (1976–1991),United States,defunct
YX,Midwest Airlines,United States,
MY,Midwest Airlines (Egypt),Egypt,
MJ,Mihin Lanka,Sri Lanka,
XV,Mississippi Valley Airlines,United States,
M4,Mistral Air,Italy,renamedPoste Air Cargo
MW,Mokulele Airlines,United States,Callsign and code changed from BUG/SPEEDBUGGY in 2013
2M,Moldavian Airlines,Moldova,
ZB,Monarch Airlines,United Kingdom,defunct October 2017
8I,Myway Airlines,Italy,
YM,Montenegro Airlines,Montenegro,"former callsign was ""MONTAIR"""
5M,Montserrat Airways,Montserrat,
3R,Moskovia Airlines,Russia,JSC
M9,Motor Sich Airlines,Ukraine,
NM,Mount Cook Airline,New Zealand,
N4,Mountain Air Company,Sierra Leone,
Z9,MYAirline,Malaysia,defunct
VZ,MyTravel Airways,United Kingdom,"Defunct, callsign now used byThomas Cook Airlines"
UB,Myanma Airways,Myanmar,
8M,Myanmar Airways International,Myanmar,
M2,MHS Aviation GmbH,Germany,
6N,Niger Airlines,Niger,
N5,Fly Easy,India,
DV,Nantucket Airlines,United States,WAS 9k
P9,Nas Air,Mali,
UE,Nasair,Eritrea,
N4,National Airlines,Chile,
N7,National Airlines,United States,defunct
NA,National Airlines,United States,defunct
N8,National Air Cargo dba National Airlines,United States,
9Y,National Airways Ethiopia,Ethiopia,
IN,NAM Air,Indonesia,
9O,National Airways Cameroon,Cameroon,
NC,National Jet Systems,Australia,
CE,Nationwide Airlines,South Africa,
1N,Navitaire,United States,
RA,Nepal Airlines,Nepal,wasRoyal Nepal Airlines
NO,Neos,Italy,
1I,NetJets,United States,
EJ,New England Airlines,United States,
2N,NextJet,Sweden,
HG,Niki,Austria,
KZ,Nippon Cargo Airlines,Japan,
DD,Nok Air,Thailand,
XW,NokScoot,Thailand,
5N,Nordavia,Russia,
JH,Nordeste Linhas Aéreas Regionais,Brazil,
6N,Nordic Regional,Sweden,
Y7,NordStar,Russia,
N4,Nordwind Airlines,Russia,
N5,Norfolk Air,Norfolk Island,Defunct
N0,Norse Atlantic Airways,Norway,
NA,North American Airlines,United States,
N/A,North Coast Air Services Ltd,Canada,
N9,North Coast Aviation,Papua New Guinea,
M3,North Flying,Denmark,
HW,North-Wright Airways,Canada,
NC,Northern Air Cargo,United States,
U7,Northern Dene Airways,Canada,
7H,Northern Pacific Airways,United States,
NW,Northwest Airlines,United States,defunctmerged withDelta Air Lines
FY,Northwest Regional Airlines,Australia,
J3,Northwestern Air,Canada,
D8*,Norwegian Air International,Ireland,subsidiary of Norwegian Air Shuttle (Ceased operations 2021)
DY,Norwegian Air Shuttle,Norway,
DI,Norwegian Air UK,United Kingdom,subsidiary of Norwegian Air Shuttle (Ceased operations 2021)[47]
DN,Norwegian Air Argentina,Argentina,subsidiary of Norwegian Air Shuttle (Ceased operations 2019)
DU,Norwegian Long Haul,Norway,subsidiary of Norwegian Air Shuttle (Ceased operations 2021)[48]
DH,Norwegian Air Norway,Norway,subsidiary of Norwegian Air Shuttle
D8,Norwegian Air Sweden,Sweden,subsidiary of Norwegian Air Shuttle
BJ,Nouvel Air Tunisie,Tunisia,
O9,Nova Airways,Sudan,
1I,Novair,Sweden,
VQ,Novo Air,Bangladesh,
N6,Nuevo Continente,Peru,Operating license revoked by Chile 10/06/2002; Ceased operations 2005; Former name: Aero Continente
1I,NetJets Europe,Portugal,
IP,One Airlines,Chile,
UQ,O'Connor Airlines,Australia,Defunct - Bankrupt
OB,Oasis Airlines,Spain,defunct
O8,Oasis Hong Kong Airlines,Hong Kong,Defunct
VC,Ocean Airlines,Italy,
O2,Linear Air,United States,Allocated in 2017
OL,OLT Express Germany,Germany,
OA,Olympic Air,Greece,
WY,Oman Air,Oman,
OV,SalamAir,Oman,Oman’s first Low Cost Carrier
OY,Omni Air International,United States,
8Q,Onur Air,Turkey,
R2,Orenburg Airlines,Russia,
OX,Orient Thai Airlines,Thailand,
QO,Origin Pacific Airways,New Zealand,
ON,Our Airline,Nauru,formerlyAir Nauru
OJ,Overland Airways,Nigeria,
OZ,Ozark Air Lines,United States,Defunct
O7,OzJet,Australia,
OA,Olympic Airlines,Greece,Defunct
OB,Oasis International AirlinesNow assigned to Boliviana de Aviacion (BoA),Spain,Ceased operations
PV,PAN Air,Spain,
9Q,PB Air,Thailand,
PU,PLUNA,Uruguay,
U4,PMTair,Cambodia,Progress Multitrade
OH,PSA Airlines,United States,part ofAmerican Airlines Group
Y5,Pace Airlines,United States,Pace Airlinesas purchased by Hooters in December 2002.
BL,Pacific Airlines,Vietnam,
DJ,Pacific Blue,New Zealand,Controlled Dupe IATA withVirgin Australia
8P,Pacific Coastal Airlines,Canada,
Q8,Pacific East Asia Cargo Airlines,Philippines,
LW,Pacific Wings,United States,
GX,Pacificair,Philippines,
PK,Pakistan International Airlines,Pakistan,
GP,Palau Trans Pacific Airlines,Palau,
PF,Palestinian Airlines,Egypt,
NR,Pamir Airways,Afghanistan,
7N,PAWA Dominicana,Dominican Republic,
PN,Pan American Airways,United States,defunct
PA,Pan American Airways,United States,defunct
PA,Pan American World Airways,United States,defunct 1991
P8,Pantanal Linhas Aéreas,Brazil,
I7,Paramount Airways,India,
P3,Passaredo Transportes Aéreos,Brazil,
HP,Pearl Airways,Haiti,IATA code withdrawn
PC,Pegasus Airlines,Turkey,"WAS 1I, H9"
PE,People's,Austria,"Previously used byPegaviation, and PeopleExpress (US low cost carrier 1981-87)"
1I,Pegasus Hava Tasimaciligi,Turkey,
KS,Peninsula Airways,United States,
P9,Perm Airlines,Russia,
P9,Peruvian Airlines,Peru,
Z2,Philippines AirAsia,Philippines,
PR,Philippine Airlines,Philippines,
HP,Phoenix Airways,Switzerland,
9R,Phuket Air,Thailand,
PI,Piedmont Airlines (1948-1989),United States,defunct
9E,Pinnacle Airlines,United States,
OG,Play,Iceland,[53]
DP,Pobeda,Russia,
PO,Polar Air Cargo,United States,
PH,Polynesian Airlines,Samoa,
DJ,Polynesian Blue,New Zealand,"Controlled Dupe IATA, Code reserved but not in use, PBN (Bluebird) used."
1U,Polyot Sirena,Russia,
PD,Porter Airlines,Canada,
NI,Portugalia,Portugal,
M4,Poste Air Cargo,Italy,
BK,Potomac Air,United States,
PW,Precision Air,Tanzania,
TO,President Airlines,Cambodia,
MO,Presidential Flight,United Arab Emirates,Presidential flight
FE,Primaris Airlines,United States,
8Q,Princess Air,,no longer assigned
8W,Private Wings Flugcharter,Germany,
P6,Privilege Style Líneas Aéreas,Spain,
P0,Proflight Zambia,Zambia,
PB,Provincial Airlines,Canada,
FV,Pulkovo Aviation Enterprise,Russia,defunct merged intoRossiya (airline)
QF,Qantas,Australia,
QF,QantasLink,Australia,Turbo-Props
QF,QantasLink,Australia,Qantaslink Jet Operations
QR,Qatar Airways,Qatar,
QW,Qingdao Airlines,China,
R6,RACSA,Guatemala,
1D,Radixx,United States,
7H,Ravn Alaska,United States,2014[55]
8L,Redhill Aviation,United Kingdom,
V4,Reem Air,Kyrgyzstan,
RX,Regent Airways,Bangladesh,
YS,Régional,France,
FN,Regional Air Lines,Morocco,
ZL,Regional Express,Australia,
P7,Regional Paraguaya,Paraguay,Defunct
3C,RegionsAir,United States,formerly Corporate Airlines
QQ,Reno Air,United States,defunct
RC,Republic Airlines,United States,"defunct; 1979–1986, merged withNorthwest Airlines"
RW,Republic Airways,United States,
RH,Republic Express Airlines,Indonesia,
C7,Rico Linhas Aéreas,Brazil,
E2,Rio Grande Air,United States,defunct
RL,Rio Linhas Aéreas,Brazil,
SL,Rio Sul Serviços Aéreos Regionais,Brazil,defunct
V2,Vision Airlines,United States,Charter Airline and Las Vegas Tours
FV,Rossiya,Russia,Airline merged withPulkovo Aviation Enterpriseand renamed to Rossiya
GZ,Air Rarotonga,Cook Islands,
RR,Royal Air Force,United Kingdom,
RS,Royal Air Force of Oman,Oman,
AT,Royal Air Maroc,Morocco,
R0,Royal Airlines,Pakistan,
V5,Royal Aruban Airlines,Aruba,
BI,Royal Brunei Airlines,Brunei,
RJ,Royal Jordanian,Jordan,
RK,Skyview Airways,THAILAND,2014[55]
RK,Royal Khmer Airlines,Cambodia,
RL,Royal Phnom Penh Airways,Cambodia,
RR,Buzz (Ryanair),Poland,
WR,Royal Tongan Airlines,Tonga,
P7,Russian Sky Airlines,Russia,
5R,Rutaca,Venezuela,
WB,Rwandair Express,Rwanda,
7S,Ryan Air Services,United States,
RD,Ryan International Airlines,United States,defunct 2013
FR,Ryanair,Ireland,
RK,Ryanair UK,United Kingdom,
RT,UVT Aero,Russia,
TR,Scoot,Singapore,Former IATA: TZ Former ICAO: SCO; AdoptedTigeraircodes after theirmerger
IJ,Spring Airlines Japan,Japan,
6Y,Smartlynx Airlines,Latvia,
QS,Smartwings,Czech Republic,formerly named Travel Service
7O,Smartwings Hungary,Hungary,formerly named Travel Service Hungary
3Z,Smartwings Poland,Poland,formerly named Travel Service Poland
6D,Smartwings Slovakia,Slovakia,formerly named Travel Service Slovakia
E3,Sabaidee Airways,Thailand,
GG,Sky Lease Cargo,United States,
GW,SkyGreece Airlines,Greece,defunct
SH,Sharp Airlines,Australia,Uses unregistered ICAO & IATA.
N9,Shree Airlines,Nepal,
7E,Sylt Air GmbH,Germany,
OL,Samoa Air,Samoa,
S4,SATA International,Portugal,
SA,South African Airways,South Africa,
KV,Sky Regional Airlines,Canada,
W7,Sayakhat Airlines,Kazakhstan,
NL,Shaheen Air,Pakistan,
MM,SAM Colombia,Colombia,Sociedad Aeronáutica De Medellín
SK,Scandinavian Airlines,"Sweden, Denmark and Norway",
PI,Sol del Paraguay,Paraguay,
UG,Tunisair Express,Tunisia,
S7,S7 Airlines,Russia,
Q7,SkyBahamas,Bahamas,
BB,Seaborne Airlines,United States,
PV,St Barth Commuter,France,
S5,Star Air (India),India,
JX,Starlux Airlines,Taiwan,
K5,SeaPort Airlines,United States,Former airline:Wings of Alaskanow part ofSeaPort Airlines. Alternative callsign: WINGS (for VFR flights only). Former ICAO code: WAK.
W3,Switfair Cargo,Canada,
FP,Servicios Aéreos de los Andes,Peru,2014[56]
SY,Sun Country Airlines,United States,
SG,Spicejet,India,
I6,Sky Eyes,Thailand,
EH,SAETA,Ecuador,
7G,Star Flyer,Japan,
FA,Safair,South Africa,
N5,Skagway Air Service,United States,
HZ,Sakhalinskie Aviatrassy(SAT),Russia,
SP,SATA Air Acores,Portugal,
8S,Scorpio Aviation,,
ZY,Sky Airlines,Turkey,
SQ,Singapore Airlines,Singapore,
5M,Sibaviatrans,Russia,
SI,Skynet Airlines,Ireland,2001–2004
3M,Silver Airways,United States,
XS,SITA,Belgium,
ZS,Sama Airlines,Saudi Arabia,
SQ,Singapore Airlines Cargo,Singapore,
FT,Siem Reap Airways,Cambodia,
SX,Sky Work Airlines,Switzerland,
SM,Swedline Express,Sweden,Ceased operations 2006
D2,Severstal Air Company,Russia,
VD,SwedJet Airways,Sweden,
QF,Sunstate Airlines,Australia,Uses IATA of parent QANTAS.
5G,Skyservice Airlines,Canada,defunct
RE,Stobart Air,Ireland,
FS,Servicios de Transportes Aéreos Fueguinos,Argentina,ICAO and call sign not current
SD,Sudan Airways,Sudan,
PI,Sun Air (Fiji),Fiji,
LW,Sun Air International,United States,
EZ,Sun Air of Scandinavia,Denmark,
SV,Saudia,Saudi Arabia,
WN,Southwest Airlines,United States,
A4,Southern Winds Airlines,Argentina,
WG,Sunwing Airlines,Canada,
WQ,Swift Air(Interstate Equipment Leasing),United States,
LX,Swiss International Air Lines,Switzerland,
SR,Swissair,Switzerland,defunct
SR,Sundair,Germany,
LZ[60],Swiss Global Air Lines,Switzerland,
WV,Swe Fly,Sweden,
S8,Shovkoviy Shlyah,Ukraine,
Q4,Swazi Express Airways,Eswatini,
WO,Swoop,Canada,
S8,Skywise Airline,South Africa,
XQ,SunExpress,Turkey,
RB,Syrian Arab Airlines,Syrian Arab Republic,
AL,Skywalk Airlines,United States,(Astral Aviation)
ZP,Silk Way Airlines,Azerbaijan,
7L,Silk Way West Airlines,Azerbaijan,
E5,Samara Airlines,Russia,defunct
E5,Air Arabia Egypt,Egypt,
SC,Shandong Airlines,China,
SK,SAS Braathens,Norway,
9C,Spring Airlines,China,
3U,Sichuan Airlines,China,
FM,Shanghai Airlines,China,Part ofChina Eastern Airlines
ZH,Shenzhen Airlines,China,
8C,Corendon Airlines Europe,Malta,
7L,Sun D'Or,Israel,
NE,SkyEurope,Slovakia,defunct
CQ,Sunshine Express Airlines,Australia,
SO,Superior Aviation,United States,
KI,SKS Airways,Malaysia,Operates scheduled flights to outlying islands from Subang Airport to Redang and Tioman.
TE,Skytaxi,Poland,
JK,Spanair,Spain,defunct
RZ*,Sansa,Costa Rica,
2G*,San Juan Airlines,United States,
1Z,Sabre Pacific,Australia,
1S,Sabre,United States,
1I,Sierra Nevada Airlines,United States,
1H,Siren-Travel,Russia,
1Q,Sirena,Russia,
1K,Southern Cross Distribution,Australia,
1K,Sutra,United States,
2C,SNCF,France,
2S,Star Equatorial Airlines,Guinea,
NK,Spirit Airlines,United States,
S0,Slok Air Gambia,Gambia,
SO,Sosoliso Airlines,Nigeria,
VA,Virgin Australia Regional Airlines,Australia,
1I,Sky Trek International Airlines,United States,
SX,Skybus Airlines,United States,defunct
RU,SkyKing Turks and Caicos Airways,Turks and Caicos Islands,IATA was QW
S3,Santa Barbara Airlines,Venezuela,
XT,SkyStar Airways,Thailand,
H2,Sky Airline,Chile,
OO,SkyWest Airlines,United States,
JZ,Skyways Express,Sweden,Ceased operations 2012; Operations continue asAvia Express
BC,Skymark Airlines,Japan,
LJ,Sierra National Airlines,Sierra Leone,
MI,SilkAir,Singapore,Merged withSingapore Airlines
6Q,Slovak Airlines,Slovakia,
PY,Surinam Airways,Suriname,
8D,Servant Air,United States,
NB,Sterling Airlines,Denmark,
6J,Solaseed Air,Japan,
IE,Solomon Airlines,Solomon Islands,
9X,Southern Airways,United States,
6W,Saratov Airlines Joint Stock Company,Russia,
HZ,Sat Airlines,Kazakhstan,
S5,Shuttle America,United States,
DV,Scat Air,Kazakhstan,
R1,Sirin,,
O3,SF Airlines,China,
PQ,SkyUp,Ukraine,
U5,SkyUp MT,Malta,
S5,Small Planet Airlines,Lithuania,defunct
P7,Small Planet Airlines,Poland,defunct
P2,Small Planet Airlines,Italy,defunct
5P,Small Planet Airlines,Germany,defunct
UL,SriLankan Airlines,Sri Lanka,
DJ,Star Air,Denmark,
V9,Star1 Airlines,Lithuania,defunct
Q4,Starlink Aviation,Canada,
XG,Sunexpress Deutschland,Germany,
SO,Sunshine Airlines,,defunct
TC,Air Tanzania Company Limited,Tanzania,
9L,AirTanker Services,United Kingdom,
DG,Cebgo,Philippines,"Formerly SEAir, South East Asian  Airlines and Tigerair Philippines"
LS,Jet2,United Kingdom,Started in 1983
1L,Open Skies Consultative Commission,United States,
2S,Satgur Air Transport,Liberia,defunct
DT,TAAG Angola Airlines,Angola,
VR,TACV,Cape Verde,
TI,Tailwind Airlines,Turkey,
PZ,TAM  Mercosur,Paraguay,
